postcode,LAT,LONG,count
10115,40.81085,-73.9637,7
11096,40.62135,-73.757,9
11451,40.70128,-73.796,12
10111,40.75911,-73.9776,25
11697,40.55569,-73.9207,30
11430,40.64696,-73.7848,37
10006,40.70961,-74.013,53
11109,40.74512,-73.9569,92
10020,40.75824,-73.9788,94
10004,40.68863,-74.0182,118
10069,40.77591,-73.9904,119
11371,40.77389,-73.8735,129
10005,40.70603,-74.0088,144
11005,40.7566,-73.7142,168
10282,40.71692,-74.0151,234
10007,40.71385,-74.0078,355
10038,40.70928,-74.0026,374
10280,40.70854,-74.0167,418
10018,40.75532,-73.9931,485
10037,40.81296,-73.9374,698
10039,40.83087,-73.9362,801
10017,40.75236,-73.9725,848
11040,40.74535,-73.6803,865
10010,40.73907,-73.9823,889
10036,40.75926,-73.9899,894
10075,40.77336,-73.9562,899
10001,40.75063,-73.9972,911
11239,40.64774,-73.8795,988
10464,40.86779,-73.7999,1062
10012,40.72558,-73.9981,1076
11693,40.59069,-73.8097,1169
10013,40.7201,-74.0049,1202
10030,40.81827,-73.9429,1365
11001,40.72332,-73.7049,1371
10470,40.88953,-73.8727,1388
10040,40.85831,-73.9305,1560
10034,40.86708,-73.9243,1574
10022,40.75863,-73.9679,1627
11104,40.74463,-73.9202,1664
10019,40.76582,-73.9872,1715
11102,40.77288,-73.9263,1742
11415,40.70792,-73.8282,1743
10454,40.80549,-73.9166,1755
11416,40.68465,-73.8495,1790
10028,40.77644,-73.9535,1806
10026,40.80238,-73.9527,1829
10475,40.87517,-73.8238,1865
10016,40.74522,-73.9783,1872
10471,40.89887,-73.9033,1903
10065,40.76461,-73.9631,1911
10009,40.7264,-73.9786,1924
11224,40.57737,-73.9887,1949
10021,40.76926,-73.9588,1959
11106,40.76221,-73.9315,1964
10033,40.85055,-73.934,1971
10035,40.79546,-73.9297,2010
11692,40.5941,-73.7929,2013
10003,40.73183,-73.9892,2025
10455,40.81471,-73.9086,2044
11232,40.65655,-74.0074,2110
10011,40.74204,-74.0006,2134
10128,40.78143,-73.95,2136
10032,40.83882,-73.9428,2217
10023,40.77592,-73.9826,2260
10002,40.71578,-73.9862,2265
10302,40.63069,-74.1378,2369
11103,40.76257,-73.9134,2376
11436,40.67581,-73.7966,2407
10029,40.79176,-73.944,2423
10451,40.82048,-73.9251,2450
11360,40.78038,-73.7812,2498
10031,40.82529,-73.95,2587
10014,40.73401,-74.0067,2591
11205,40.6947,-73.9663,2640
10474,40.81055,-73.8844,2644
11419,40.68867,-73.8229,2805
11428,40.72102,-73.7422,2838
11363,40.77262,-73.7465,2851
11421,40.69406,-73.8586,2855
11225,40.66305,-73.9542,2868
11429,40.70977,-73.7387,2912
11237,40.70416,-73.9211,2948
10468,40.86809,-73.8997,2990
10027,40.81141,-73.9531,2992
11366,40.72815,-73.785,3013
10453,40.85278,-73.9123,3050
10459,40.82587,-73.8929,3078
11374,40.72642,-73.8615,3084
11356,40.78485,-73.8413,3099
11370,40.76539,-73.8932,3179
11411,40.69402,-73.7362,3229
10303,40.62989,-74.1741,3238
11217,40.68231,-73.9781,3244
10460,40.84176,-73.8796,3261
11372,40.75169,-73.8836,3295
11369,40.76337,-73.8724,3296
10024,40.79845,-73.9744,3311
10452,40.83739,-73.9234,3320
11101,40.74716,-73.9398,3387
11418,40.70027,-73.836,3391
10458,40.86254,-73.8881,3405
10472,40.82956,-73.8693,3430
11216,40.68077,-73.9493,3512
11694,40.57827,-73.8448,3572
11423,40.71561,-73.7685,3591
10310,40.63265,-74.1161,3629
11213,40.67108,-73.9363,3652
11231,40.67792,-74.0052,3660
11417,40.67645,-73.8444,3666
10025,40.7986,-73.9666,3696
11222,40.72779,-73.9476,3704
10463,40.88068,-73.9065,3723
11433,40.69816,-73.7869,3745
11228,40.6167,-74.013,3785
11238,40.67917,-73.9638,3872
11226,40.64645,-73.9566,3875
11105,40.77888,-73.9068,3925
11378,40.72474,-73.9096,4033
11206,40.70195,-73.9424,4068
10456,40.82988,-73.9081,4085
11004,40.7462,-73.7115,4130
11211,40.7126,-73.9531,4143
10457,40.84715,-73.8987,4175
11373,40.73884,-73.8785,4204
11212,40.66294,-73.913,4205
10462,40.84328,-73.8604,4234
11214,40.59915,-73.9961,4341
11368,40.75172,-73.8518,4346
10467,40.86995,-73.8657,4355
10473,40.81869,-73.8585,4369
11427,40.7309,-73.7457,4377
11362,40.75657,-73.7378,4429
11219,40.63267,-73.9967,4463
11201,40.69368,-73.9897,4514
11435,40.70127,-73.8096,4595
11414,40.6576,-73.8448,4650
11220,40.64122,-74.0169,4677
11412,40.6981,-73.759,4697
11204,40.61878,-73.9848,4731
11233,40.67831,-73.9199,4732
11218,40.64347,-73.976,4868
11379,40.71675,-73.8796,4893
10466,40.89096,-73.8462,5088
11221,40.69134,-73.9279,5098
11426,40.73643,-73.7224,5121
11203,40.64959,-73.9344,5141
11235,40.58395,-73.9491,5157
10465,40.82262,-73.8222,5183
11367,40.73015,-73.827,5221
11355,40.75145,-73.821,5287
10307,40.50918,-74.2378,5451
11210,40.62815,-73.9463,5452
11420,40.67358,-73.8177,5494
10461,40.84738,-73.8406,5636
11377,40.74482,-73.9052,5651
11691,40.60128,-73.7617,5718
11354,40.76821,-73.8274,5824
10304,40.60923,-74.0926,5855
11223,40.59714,-73.9734,5981
10301,40.62746,-74.0944,6034
11229,40.60129,-73.9445,6099
11361,40.76419,-73.7728,6181
11209,40.62198,-74.0303,6201
11422,40.66006,-73.736,6324
11215,40.66269,-73.9867,6360
10469,40.86861,-73.8481,6710
10305,40.59669,-74.0749,6855
11236,40.63941,-73.9007,6859
11358,40.76047,-73.7964,6928
11432,40.71536,-73.7931,6958
11364,40.74529,-73.7606,7054
11375,40.72093,-73.8462,7059
10308,40.55188,-74.1476,7116
11230,40.62216,-73.9651,7336
11365,40.73963,-73.7945,7428
11413,40.67166,-73.7526,7470
11208,40.66977,-73.8714,8245
11434,40.67681,-73.7764,8274
11207,40.67075,-73.8942,8634
11357,40.78639,-73.8109,9449
11385,40.70067,-73.8894,10937
11234,40.60508,-73.9117,11253
10309,40.53135,-74.2199,12650
10306,40.57177,-74.126,13030
10314,40.59926,-74.1657,16905
10312,40.54524,-74.1804,22186
